,Name,Price,Stars,Total ratings and reviews,Core,Read Only Memory (ROM),Operating System,Random Access Memory (RAM),Display,Warranty Period
112,ZEBRONICS Pro Series Y Intel Core i3 11th Gen 1125G4 - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 1S Th...,"₹25,990",3.7,46 Ratings & 9 Reviews,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty
113,CHUWI Intel Core i5 10th Gen 10210Y - (12 GB/512 GB SSD/Windows 11 Home) UBook_X 2 in 1 Laptop,"₹39,990",,,Intel Core i5 Processor (10th Gen),12 GB LPDDR3 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,30.48 cm (12 inch) Touchscreen Display,"WPS Office, Operating System Software"
114,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹54,990",4.2,80 Ratings & 8 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty
115,HP Pavilion 15 (2023) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15-eg2017TU Thi...,"₹48,490",4.5,146 Ratings & 17 Reviews,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
116,HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,"₹42,290",4.2,"2,585 Ratings & 207 Reviews",Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
117,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin...,"₹40,990",4.3,"1,735 Ratings & 194 Reviews",Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
118,HP (2023) 12th Gen N305 Intel Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Home) 14-Ep0068TU Thin and Li...,"₹41,800",4.3,491 Ratings & 42 Reviews,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty
119,HP Victus AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹69,990",4.4,331 Ratings & 23 Reviews,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
120,Lenovo LOQ Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,"₹1,07,990",4.2,96 Ratings & 18 Reviews,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student 2021
121,Acer Intel Celeron Dual Core N4500 - (8 GB/64 GB SSD/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chrom...,"₹23,990",3.4,65 Ratings & 9 Reviews,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome Operating System,64 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
122,Acer Chromebook Intel Celeron Dual Core N4000 - (4 GB/16 GB EMMC Storage/Chrome OS) C733 Chromebook,"₹19,771",3.6,73 Ratings & 5 Reviews,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,Chrome Operating System,29.46 cm (11.6 inch) Display,1 Year International Travelers Warranty (ITW),
123,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0241 C...,"₹15,990",3.9,358 Ratings & 43 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,
124,HP 360 Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook,"₹20,990",4,842 Ratings & 76 Reviews,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite warranty,
125,Lenovo IdeaPad 3 Chromebook Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) ideapa...,"₹15,299",3.5,"2,347 Ratings & 236 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year Onsite�Warranty,
126,HP 14a Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook,"₹18,990",3.7,847 Ratings & 98 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,
127,Lenovo Ideapad Slim 3 MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,"₹17,990",4,24 Ratings & 2 Reviews,MediaTek Kompanio 520 Processor,8 GB LPDDR4X RAM,Chrome Operating System,35.56 cm (14 inch) Display,1 Year Carry-in Warranty,
128,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-EK0257 C...,"₹14,990",3.8,860 Ratings & 99 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,
129,HP 360 Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromebook,"₹20,990",3.9,895 Ratings & 84 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,
130,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0277 ...,"₹16,990",3.8,860 Ratings & 99 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,
131,Lenovo Ideapad Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 11IGL05 Chromebook,"₹16,990",3.7,6 Ratings & 0 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,29.46 cm (11.6 inch) Display,1 Year Carry-in Warranty,
132,HP Chromebook (2023) MediaTek Kompanio 1200 - (8 GB/256 GB SSD/Chrome OS) 13b-ca0006MU Chromebook,"₹34,990",4.5,11 Ratings & 2 Reviews,MediaTek Kompanio 1200 Processor,8 GB LPDDR4X RAM,64 bit Chrome Operating System,256 GB SSD,33.78 cm (13.3 Inch) Display,1 Year Onsite Warranty
133,HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0006MU Chromebook,"₹22,490",3.7,"6,910 Ratings & 760 Reviews",MediaTek Kompanio 500 Processor,4 GB LPDDR4X RAM,Chrome Operating System,29.46 cm (11.6 inch) Touchscreen Display,1 Year Onsite Warranty,
134,Acer Intel Celeron Dual Core N4500 - (4 GB/64 GB SSD/64 GB EMMC Storage/Chrome OS) C734-C2ED Chromeboo...,"₹15,990",,,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,64 GB SSD,29.46 cm (11.6 inch) Display,1 Year Onsite Warranty
135,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400FKA-EC0158 C...,"₹25,751",3.6,39 Ratings & 3 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,
136,ASUS Chromebook Flip Touch Intel Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-...,"₹29,431",4,"3,356 Ratings & 449 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,29.46 cm (11.6 inch) Touchscreen Display,1 Year Onsite Warranty,
137,ASUS Chromebook Intel Celeron Dual Core N3350 - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-BV0523 Chro...,"₹18,000",3.7,"1,555 Ratings & 220 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,35.56 cm (14 inch) Display,1 Year Onsite Warranty,
138,ASUS Chromebook Intel Celeron Dual Core N3350 - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-BR0300| C52...,"₹19,650",3.7,"2,064 Ratings & 270 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,
139,Lenovo Ideapad Slim 3 MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,"₹16,990",4,24 Ratings & 2 Reviews,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome Operating System,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,
140,ASUS Chromebook Plus (2023) Intel Core i3 12th Gen 1215U - (8 GB/128 GB EMMC Storage/Chrome OS) CX3402...,"₹39,990",,,Intel Core i3 Processor (12th Gen),8 GB LPDDR5 RAM,Chrome Operating System,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,
141,Lenovo Ideapad Slim 3 Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chrom...,"₹28,190",,,Intel Pentium Quad Core Processor,4 GB LPDDR5 RAM,Chrome Operating System,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,
142,HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,"₹22,380",3.7,"6,910 Ratings & 760 Reviews",MediaTek Kompanio 500 Processor,4 GB LPDDR4X RAM,Chrome Operating System,29.46 cm (11.6 inch) Touchscreen Display,1 Year Onsite Warranty,
143,ASUS Chromebook Touch Intel Intel Celeron Dual Core N3350 - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA...,"₹21,900",3.8,"2,203 Ratings & 307 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,
144,ASUS Chromebook Flip Touch Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) C214MA-...,"₹17,820",4,"3,356 Ratings & 449 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,29.46 cm (11.6 inch) Touchscreen Display,1 Year Onsite Warranty,
145,ASUS Chromebook Flip Touch Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) C214MA-...,"₹17,820",4,"3,356 Ratings & 449 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,29.46 cm (11.6 inch) Touchscreen Display,1 Year Onsite Warranty,
146,HP Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) 15a- na0012TU Chromebook,"₹20,990",3.9,"2,648 Ratings & 342 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,
147,ASUS Chromebook Intel Celeron Dual Core N3350 - (4 GB/32 GB EMMC Storage/Chrome OS) C223NA-GJ0074 Chro...,"₹17,490",3.5,"1,342 Ratings & 157 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,29.46 cm (11.6 inch) Display,1 Year Onsite Warranty,
148,ASUS Chromebook Touch Intel Intel Celeron Dual Core N3350 - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA...,"₹22,990",3.9,"1,469 Ratings & 185 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,
149,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1400CKA-EK0335 ...,"₹15,990",3.6,134 Ratings & 14 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,
150,ASUS Chromebook Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ000...,"₹18,000",3.6,"1,001 Ratings & 97 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year onsite warranty,
151,HP Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) 15a- na0008TU Chromebook,"₹20,990",3.9,"2,648 Ratings & 342 Reviews",Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,Chrome Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,
152,HP Chromebook 14a Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-na0003tu Chr...,"₹26,890",3.9,625 Ratings & 69 Reviews,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 inch) Touchscreen Display,"Pre-installed G-suite Apps, Built-in Google Assistant, HP Audio Switch, HP ePrint, HP Support Assistant",1 Year Onsite Warranty
153,Acer Intel Celeron Dual Core N4500 - (8 GB/64 GB SSD/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chrom...,"₹23,990",3.4,65 Ratings & 9 Reviews,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome Operating System,64 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
154,HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11A-NA0002MU Chromebook,"₹22,490",3.7,"6,910 Ratings & 760 Reviews",MediaTek Kompanio 500 Processor,4 GB DDR4 RAM,32 bit Chrome Operating System,29.46 cm (11.6 inch) Touchscreen Display,"Pre-installed G-suite Apps, Linux Kernel and Apps, Chrome Web Extensions, Google Play Store, HP Audio Switch, HP ePrint, HP Support Assistant, Dropbox",1 Year Onsite Warranty
155,Lenovo IdeaPad Slim 3 Chromebook Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 1...,"₹19,500",3.8,511 Ratings & 50 Reviews,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,
156,Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹59,990",4.1,143 Ratings & 16 Reviews,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
157,HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,"₹94,990",4.3,30 Ratings & 4 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,1 Year Onsite Warranty
158,HP OMEN Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹1,70,490",,,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.89 cm (16.1 Inch) Display,1 Year Onsite Warranty
159,ASUS TUF Gaming F15 with 90WHr Battery Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Ho...,"₹64,990",4.4,"1,852 Ratings & 186 Reviews",Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
160,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 6...,"₹48,990",4.3,"1,177 Ratings & 114 Reviews",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
161,ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹53,990",4.3,"3,489 Ratings & 347 Reviews",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty
162,Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹56,990",4.2,"1,100 Ratings & 104 Reviews",Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
163,HP Victus AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹51,990",4.3,232 Ratings & 26 Reviews,AMD Ryzen 5 Hexa Core Processor,8 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
164,MSI GF63 Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹41,990",4.2,738 Ratings & 75 Reviews,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty
165,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹66,990",4,73 Ratings & 1 Reviews,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
166,Acer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graph...,"₹1,04,990",4.5,281 Ratings & 33 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year International Travelers Warranty (ITW)
167,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11300H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹49,990",4.3,"5,084 Ratings & 468 Reviews",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
168,HP Victus Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹55,990",4.3,773 Ratings & 80 Reviews,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,1 Year Onsite Warranty
169,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,"₹67,990",4.3,156 Ratings & 14 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2021
